Date,IT_TotalMarketCap
2021-01-31,631521792.0
2021-02-28,621002528.8888888
2021-03-31,608827647.8181819
2021-04-30,624578291.2272727
2021-05-31,596021775.6315789
2021-06-30,607928487.3181819
2021-07-31,609630220.0909091
2021-08-31,590686129.3333334
2021-09-30,583611640.0526316
2021-10-31,544545834.7368422
2021-11-30,574441350.8181819
2021-12-31,619610967.9545455
2022-01-31,612777442.6
2022-02-28,597345026.7777778
2022-03-31,578093290.7619047
2022-04-30,568605769.0
2022-05-31,555687927.2857143
2022-06-30,505260860.4
2022-07-31,485069410.3333333
2022-08-31,499422563.3636364
2022-09-30,464954911.35
2022-10-31,464827928.15789473
2022-11-30,499341088.6363636
2022-12-31,477166194.2380952
2023-01-31,485073094.45
2023-02-28,515926852.4
2023-03-31,515644653.95454544
2023-04-30,543963972.7
2023-05-31,548190910.3
2023-06-30,594284464.3333334
2023-07-31,599720328.7619047
2023-08-31,575799476.6363636
2023-09-30,579384746.4210526
2023-10-31,552228464.2631578
2023-11-30,575748768.5909091
2023-12-31,600152419.9473684
2024-01-31,603611994.7272727
2024-02-29,605527182.6842105
2024-03-31,635018805.75
2024-04-30,659906120.7619047
2024-05-31,653458145.3
2024-06-30,674334000.1052631
2024-07-31,690752824.7391304
2024-08-31,611227402.1428572
2024-09-30,555206220.7777778
2024-10-31,537987783.4
2024-11-30,501577270.4285714
2024-12-31,478398564.4
2025-01-31,500667220.1666667
2025-02-28,512527497.8
2025-03-31,509851416.55
2025-04-30,480332022.04545456
2025-05-31,492596508.3684211
2025-06-30,547251876.5263158
2025-07-31,596540911.4347826
2025-08-31,617583820.35
2025-09-30,684697102.5
2025-10-31,882199710.2777778
2025-11-30,957343424.35
2025-12-31,997384881.4761904
2026-01-31,1287964410.6666667
2026-02-28,1561843952.9411764
2026-03-31,1610212935.8421052
