recorded_at,cash,stock_value,total_value,execution_venue_code,account_scope,date,scope_class
2026-07-03 09:00:00+09:00,575710.0,499081600.0,499657310.0,UNKNOWN,UNKNOWN,2026-07-03,INFERRED_LEGACY_PAPER
2026-07-06 09:00:00+09:00,64060.0,495909400.0,495973460.0,UNKNOWN,UNKNOWN,2026-07-06,INFERRED_LEGACY_PAPER
2026-07-09 23:57:44+09:00,-249020059.0,722698500.0,473678441.0,UNKNOWN,UNKNOWN,2026-07-09,INFERRED_LEGACY_PAPER
2026-07-10 23:23:19+09:00,63978705.0,421997040.0,485975745.0,UNKNOWN,UNKNOWN,2026-07-10,INFERRED_LEGACY_PAPER
2026-07-13 23:59:13+09:00,153430184.0,316818750.0,470248934.0,UNKNOWN,UNKNOWN,2026-07-13,INFERRED_LEGACY_PAPER
2026-07-14 23:45:59+09:00,86850625.0,375187800.0,462038425.0,UNKNOWN,UNKNOWN,2026-07-14,INFERRED_LEGACY_PAPER
2026-07-15 15:20:12.703773+09:00,187211590.0,284255900.0,471467490.0,UNKNOWN,UNKNOWN,2026-07-15,INFERRED_LEGACY_PAPER
2026-07-16 15:20:41.418623+09:00,187211590.0,281550900.0,468762490.0,UNKNOWN,UNKNOWN,2026-07-16,INFERRED_LEGACY_PAPER
2026-07-17 09:03:11.716155+09:00,187211590.0,281656600.0,468868190.0,UNKNOWN,UNKNOWN,2026-07-17,INFERRED_LEGACY_PAPER
2026-07-20 15:20:15.312762+09:00,187211590.0,276784000.0,463995590.0,UNKNOWN,UNKNOWN,2026-07-20,INFERRED_LEGACY_PAPER
2026-07-21 15:20:55.189541+09:00,222905099.0,250897600.0,473802699.0,PAPER,***9904-01,2026-07-21,CONFIRMED_PAPER
2026-07-22 15:20:18.044807+09:00,257366746.0,209032300.0,466399046.0,PAPER,***9904-01,2026-07-22,CONFIRMED_PAPER
2026-07-23 15:20:31.677619+09:00,323106385.0,145551600.0,468657985.0,PAPER,***9904-01,2026-07-23,CONFIRMED_PAPER
2026-07-24 15:20:30.463475+09:00,394324814.0,69736000.0,464060814.0,PAPER,***9904-01,2026-07-24,CONFIRMED_PAPER
